Text,Completion
User: 내 식단 당류가 많았나?,Assistant: 1
User: 당류가 많았나?,Assistant: 1
User: 탄수화물이 많았나,Assistant: 1
User: 단백질 과다섭췬가?,Assistant: 1
User: 지방이 많았나,Assistant: 1
User: 기분 Perfect,Assistant: 0
User: 아 주말에 뭐하지,Assistant: 0
User: 쉬고 싶다,Assistant: 0
User: 내가 뭐하는 거지,Assistant: 0
User: 다이어트나 한번 해볼까,Assistant: 0
User: 기분 Bad하네 식단,Assistant: 0
User: 식단이 좋아서 Good,Assistant: 0
"User: 식단 때문에 다이어트 Bad,,",Assistant: 0
User: 오늘 날씨 너무 좋아서 산책 가고 싶어!,assistant: 0
User: 식단에 대한 간략한 분석 Bad 받은 이유가 뭐야? 식단 평가가 왜 이래?,assistant: 1
User: 오늘 Not Bad네,assistant: 1
User: 운명,assistant: 0
User: 오늘 식단 출력,assistant: 1
User: 오늘 먹은 식단에 대해 평가해줘,assistant: 1
User: 왜 Not Bad라고 나왔지?,assistant: 1
User: 성공적인 하루를 보냈어,assistant: 0
User: 식단에 대해 간략하게 분석해줘,assistant: 1
User: 오늘 날씨 어때요?,assistant: 0
User: 오늘 날씨가 정말 좋네요!,assistant: 0
User: 회는 살찌나?,assistant: 0
User: 내가 무엇을 잘못했나요?,assistant: 1
User: 운동 새로 시작했어!,assistant: 0
User: 오늘 식단 왜 Very Good?,assistant: 1
User: ㅎ ㅇ,assistant: 0
User: 어제 식단 왜그래?,assistant: 1
User: 어제 식단 왜 Bad?,assistant: 1
User: 그저께 식단 왜 Bad?,assistant: 1
User: 그저께 식단 왜 Not Bad?,assistant: 1
User: 어제 식단 왜 Very Good?,assistant: 1
User: 어제 식단 대체 왜 Bad?,assistant: 1
User: 어제 식단 Good이었는데 왜??,assistant: 1
User: 어제 식단은 왜 Perfect임??,assistant: 1
User: 그저께 식단은 왜 Bad??,assistant: 1
User: 7일전 식단은 왜 Bad?,assistant: 1
User: 7일전 식단 Not Bad?,assistant: 1
User: 7일전 왜 Very Good임?,assistant: 1
User: 한달 전 식단 왜 Perfect임?,assistant: 1
User: 한달 전 식단 Bad 미쳤나,assistant: 1
User: 나 어제 잘 먹었는데 왜 Bad,assistant: 1
User: 일주일전 잘 먹었는데 왜 Bad,assistant: 1
User: 이틀전은 왜 Not Bad???,assistant: 1
User: 어제는 잘 먹은 거 같은데 Bad?,assistant: 1
User: 그저께는 잘 먹은 거 같은데 왜 Bad야,assistant: 1
User: 어제는 잘 못먹었는데 Good이네,assistant: 1
User: aegaeaefaef,assistant: 0
User: ㅇㅇ ㅇㅇ ,assistant: 0
User: 그래 이제는,assistant: 0
User: 개소리 ㄴㄴ,assistant: 0
User: 그만 좀,assistant: 0
User: 제발,assistant: 0
User: 다이어트 하기싫다,assistant: 0
User: ㄷㅁㄹㅇㅁㅎ,assistant: 0
User: ㅎㅇ,assistant: 0
User: ㅁㅊ,assistant: 0
User: 유정,assistant: 0
User: 뭐,assistant: 0
User: 대답 좀,assistant: 0
User: 단백질,assistant: 0
User: 탄수화물,assistant: 0
User: 지방,assistant: 0
User: 생선,assistant: 0
User: ㅈㄹ하지말고,assistant: 0
User: 물은 얼마나,assistant: 0
User: 물,assistant: 0
User: 시계,assistant: 0
User: 구글,assistant: 0
User: ㅂㅇ,assistant: 0
User: 땡큐,assistant: 0
User: 그만,assistant: 0
User: ㅇ,assistant: 0
User: ㅁㅈㅈ,assistant: 0
User: ㅂㅈㄷㅇㄴ,assistant: 0
User: ㄴㄱ혀,assistant: 0
User: ㅂㅇㅂㅇ,assistant: 0
User: ㄱㅁ,assistant: 0
User: ㅂㅂ,assistant: 0
User: ㅎㅇㅎㅇ,assistant: 0
User: ㅎㅇㅇ,assistant: 0
User: 헤,assistant: 0
User: ㅁㅌ,assistant: 0
User: ㅁㅈㅈ,assistant: 0
User: ㅈㄹ ㄴㄴ,assistant: 0
User: ㄴㄴ,assistant: 0
User: ㄱㅊ,assistant: 0
User: ??,assistant: 0
User: ㄱㅊㄱㅊ,assistant: 0
User: 식단평가,assistant: 1
User: 식단 평가에 대해 간략하게 분석 좀 해줘.,assistant: 1
User: 식단에 대한 간략한 분석 부탁해.,assistant: 1
User: 식단 후에 바로 누우면 어때?,assistant: 1
User: 뭐가 문제인지 알려줄 수 있어?,assistant: 1
User: 회는 살찌나?,assistant: 0
User: 어제 총 지방이 몇이지?,assistant: 1
User: 운동 후에 하는 산책은 식단을 먹을 때도 좋겠지?,assistant: 0
User: 오늘 날씨가 좋아서 산책을 했다.,assistant: 0
User: 그저께 탄수화물 보여줘,assistant: 1
User: 울적한 이 마음 아주 Bad,assistant: 0
User: What's the weather like today?,assistant: 0
User: 아 배고파,assistant: 0
User: Not Bad 받은 이유가 뭐야? Good이라고 생각했는데,assistant: 1
User: 3일전 탄수화물 보여줘,assistant: 1
User: 나흘 전 식단,assistant: 1
User: 내 식단 뭐가 문제야?,assistant: 1
"User: 안녕하세요! 제가 만든 코드를 테스트해보고 싶은데, 어떻게 하면 될까요?",assistant: 0
User: 새로 시작한 취미 어때? 재미있어 보여!,assistant: 0
User: 오늘 날씨 어때요?,assistant: 0
User: 내가 쓴 글 어때?,assistant: 0
User: 오늘 Not Bad네,assistant: 1
User: 대답 좀,assistant: 0
User: Not Bad라는 평가를 받으려면 어떤 음식을 먹어야 할까요?,assistant: 0
User: 이틀 전 지방은?,assistant: 1
User: 어제 식단 어땠음?,assistant: 1
User: Not Bad면 선방했나?,assistant: 1
User: 그저께 식단 왜 Bad?,assistant: 1
User: 운동 후 산책이 다이어트에 좋을까요?,assistant: 0
User: 식단 평가가 왜 이래?,assistant: 1
User: Not Bad 받은 이유가 뭐야? Good이라고 생각했는데,assistant: 1
User: 운동 루틴 추천해줘,assistant: 0
User: 식단 결과가 좀 의아하게 느껴져.,assistant: 1
User: 저는 거짓말을 하면 티가 나요.,assistant: 0
User: 식단 평가에 대해 간략하게 분석 좀 해줘.,assistant: 1
User: 운동 계획을 세워야겠어,assistant: 0
User: 식단 평가가 좀 이상한 거 같아. 어떻게 생각해?,assistant: 1
User: 식단에 대해 간략하게 분석해줘,assistant: 1
User: 내 식단 왜 좋음?,assistant: 1
User: 일주일전 식단 알려줘,assistant: 1
User: 커피는 살이 찌니?,assistant: 0
User: 일주일전 총지방은 어느정도야?,assistant: 1
User: 오늘 Not Bad네,assistant: 1
User: 오늘 기분 Not Bad네,assistant: 0
User: 오늘 점심 뭐 먹을까요?,assistant: 0
User: 나 왜 NotBad?,assistant: 1
User: 아침에 먹기 좋은 메뉴 추천해줘,assistant: 0
User: 탄수화물이 많았나,assistant: 1
User: 내가 생각했던 것보다 칼로리가 너무 많이 나왔어.,assistant: 0
User: 일주일 전 식단 평가가 왜 Perfect임?,assistant: 1
User: 일주일 전이랑 비교했을 때 오늘은 왜 Bad?,assistant: 1
User: 탄수화물이 적으면서 몸에 좋은 음식,assistant: 0
User: 어제랑 비교했을 때 오늘은 왜 Bad?,assistant: 1
User: 검사 결과가 잘못 나온 것 같아요.,assistant: 1
User: 식단 결과가 좀 의아하게 느껴져.,assistant: 1
User: 나 많이 먹었는데도 식단 결과가 perfect야. 왜그러지?,assistant: 1
User: 하루에 몇 끼를 먹어야 할까요?,assistant: 0
"User: 아, 그렇구나. 그럼 이제부터 조심할게.",assistant: 0
User: 이틀전에 탄수화물 어느정도 먹었지,assistant: 1
User: 어제 당류 섭취가 많았나?,assistant: 1
User: Not Bad면 선방했나?,assistant: 1
User: 배고파요,assistant: 0
User: 식단 평가가 좀 이상한 거 같아. 어떻게 생각해?,assistant: 1
User: 내 식단 괜찮아?,assistant: 1
User: 어제 식단 평가 좀,assistant: 1
User: 그저께 식단 평가 보여줘,assistant: 1
User: 힘들다,assistant: 0
User: 나 왜 Not Bad,assistant: 1
User: 일주일전 식단 평가 좀,assistant: 1
User: 7일전 식단 Not Bad?,assistant: 1
User: 나흘 전 식단 보여줘,assistant: 1
User: 나흘 전 식단 좀,assistant: 1
User: 오늘 점심으로 샐러드를 먹었어요.,assistant: 0
User: 식단에 대해 간략하게 분석해줘,assistant: 1
User: 당류 섭취를 줄이려면 어떻게 해야해?,assistant: 0
User: 나 왜 Bad?,assistant: 1
User: 지방이 없는 맛있는 음식 추천,assistant: 0
User: 식단 평가 기준이 뭐야?,assistant: 1
User: 이틀 전 식단 평가좀,assistant: 1
User: 그저께 탄수화물 좀,assistant: 1
User: 내 식단 뭐가 문제야?,assistant: 1
User: 오늘 식단 Not Bad네,assistant: 1
User: 어제 식단 Bad였나?,assistant: 1
User: 어떤 음식이 건강에 좋지 않을까요?,assistant: 0
User: 어제 평가가 뭐였지,assistant: 1
User: 어제 평가 좀,assistant: 1
User: 그저께 식단 정보 좀,assistant: 1
User: 어디로 여행가고 싶으세요?,assistant: 0
User: 뭐지,assistant: 0
User: 나 운동 새로 시작했어!,assistant: 0
User: 울적한 이 마음 아주 Bad,assistant: 0
User: 식단평가 기준이 뭐야?,assistant: 1
User: 내일 날씨 어떨까?,assistant: 0
User: 행복을 줄 순 없어서,assistant: 0
User: 탄수화물이 적으면서 몸에 좋은 음식,assistant: 0
User: 이틀 전 당류 좀,assistant: 1
"User: 식단에 대해 간략하게 분석해줘, 부탁해.",assistant: 1
User: 오늘 식단 출력,assistant: 1
User: 어제 식단 출력,assistant: 1
User: 그저께 식단 출력,assistant: 1
User: 일주일전 식단 출력,assistant: 1
User: 운동하기 싫다,assistant: 0
User: 탕후루 몸에 안좋아?,assistant: 0
User: 이틀 전 식단 출력,assistant: 1
User: 오늘 날씨 완전 좋음,assistant: 0
User: 3일전 식단 평가 좀,assistant: 1
User: 2일전 식단 평가 좀 보여줘,assistant: 1
User: 5일전 식단 평가 좀,assistant: 1
User: 6일전 식단 평가 좀,assistant: 1
User: 어제 식단 평가 보여줘,assistant: 1
User: i feel Bad,assistant: 0
User: i feel Good,assistant: 0
User: 오늘 식단 보여줘,assistant: 1
User: 내일 날씨 어떨까?,assistant: 0
User: 뭐지?,assistant: 0
User: 회는 살찌나?,assistant: 0
User: 평가가 높은 음식을 먹었는데 식단 평가가 왜 이래?,assistant: 1
User: 지방이 많았나,assistant: 1
User: 오늘 식단에 대해 분석해봐,assistant: 1
User: 내 식단 왜 나쁜데?,assistant: 1
User: 일주일 전 식단이 좋아서 Perfect,assistant: 1
User: 나 왜 NotBad?,assistant: 1
User: 오늘 먹은 식단에 대해 평가해줘,assistant: 1
User: Perfect한 식단이네,assistant: 1
User: 내 기분 오늘 왜 Bad,assistant: 0
User: 오늘 너무 덥다,assistant: 0
User: 살찌려나?,assistant: 0
User: 오늘 식단 살찌려나?,assistant: 1
User: 오늘 먹은 식단에 대해 평가해줘,assistant: 1
User: 어제 식단 평가해봐,assistant: 1
User: 내 식단 왜 최악이야?,assistant: 1
User: 식단 후에 바로 누우면 어때?,assistant: 0
User: 제가 뭐 잘못했나요?,assistant: 0
User: 식단 평가 분석,assistant: 1
User: 사흘 전에 먹은 음식 알려줘,assistant: 1
User: 식단 후에 바로 누우면 어때?,assistant: 0
User: Good Choice,assistant: 0
User: ??,assistant: 0
User: 내 식단 왜 최악이야?,assistant: 1
User: 안녕하세요,assistant: 0
User: 사일 전 식단 평가 좀,assistant: 1
User: 내 식단 괜찮아?,assistant: 1
User: 내가 무엇을 잘못했나요?,assistant: 0
User: 금일 식단 평가 좀,assistant: 1
User: 오늘 기준으로 일주일 전 식단 평가 좀,assistant: 1
User: 아침에 토스트를 먹었는데도 배가 안 부르네.,assistant: 0
User: 토스트 살찜?,assistant: 0
User: 식단 평가 분석 부탁,assistant: 1
User: 그저께 식단 출력,assistant: 1
User: 오늘 점심 뭐 먹을까요?,assistant: 0
User: 내가 먹은거 왜 평가 나빠??,assistant: 1
User: 그저께 식단은 왜 Bad??,assistant: 1
User: 어제 bad 왜나옴?,assistant: 1
User: 이틀전 bad 왜나옴?,assistant: 1
User: 이틀전 Good 왜 나옴?,assistant: 1
User: 이틀전 Very Good 왜 나옴?,assistant: 1
User: 오늘 운동 잘 먹었네,assistant: 0
User: 오늘 잘 먹었나?,assistant: 1
User: 오늘 식단 어땠음?,assistant: 1
User: 식단 결과가 좀 의아하게 느껴져.,assistant: 1
User: 오늘 기분 Very Good이네,assistant: 0
User: 그저께 식단 정보 좀,assistant: 1
User: 닭가슴살을 먹었는데 왜 BAD라고 나왔지?,assistant: 1
User: 이번 주말은 공부와 함께 보낼 계획이야,assistant: 0
User: I am good,assistant: 0
User: 이틀 전 식단 Bad 미쳤나,assistant: 1
User: 다이어트 지친다,assistant: 0
User: 식단 지친다,assistant: 0
User: 식단평가,assistant: 1
User: 오늘 날씨 너무 좋다!,assistant: 0
"User: 운동 후 근육통이 있는데, 근육이 성장하는 과정인가요?",assistant: 0
User: 오늘 식단 출력,assistant: 1
User: 지방이 많았나,assistant: 1
User: Very Good 기준을 말해줄 수 있어?,assistant: 1
User: 이번주 식단은 잘 지키지 못했어,assistant: 0
User: 오늘 식단 출력,assistant: 1
User: 오늘 날씨 어때?,assistant: 0
User: 어제랑 오늘 식단 평가 좀,assistant: 1
User: 당류를 줄이려면 어떻게 해야하지,assistant: 0
User: Good이 뜨다니!! 확인해 볼 수 있나?,assistant: 1
User: 단백질 수치가 높은 음식을 먹었는데 식단 평가가 왜 이래?,assistant: 1
User: i feel Bad,assistant: 0
User: 제주도로 여행가고 싶어요,assistant: 0
User: 식단 관련해서 질문 좀 해도 되나?,assistant: 0
User: 내가 쓴 글 어때?,assistant: 0
User: 식단 평가에 대해 간략하게 분석 좀 해줘.,assistant: 1
User: 점심 뭐 먹지?,assistant: 0
User: 나흘 전 식단,assistant: 1
User: 내가 만든 음식 맛이 이상해,assistant: 0
User: 오늘 점심으로 샐러드를 먹을까 해요.,assistant: 0
User: 내 식단 뭐가 문제야?,assistant: 1
User: 5일 전 탄수화물 얼마 먹었지,assistant: 1
User: 와 오늘 죽고 싶은데,assistant: 0
User: 고양이 식단도 추천 가능?,assistant: 0
User: 흩어지지않게,assistant: 0
User: 엠멕,assistant: 0
User: 그대는 눈물겹다,assistant: 0
User: Bad한 음식이 뭐있어,assistant: 0
User: 최근에 새로운 식단을 시도했는데 좋아,assistant: 0
User: 영원,assistant: 0
User: 영양,assistant: 0
User: 내 식단 정보,assistant: 1
User: 식단 평가가 뭐야?,assistant: 1
User: 운동 후 산책이 다이어트에 좋을까요?,assistant: 0
User: not bad가 많은 식사를 했는데 왜 BAD라고 나왔지?,assistant: 1
User: JUJ,assistant: 0
User: 무슨 일이야?,assistant: 0
User: 식단 결과가 조금 이상하게 느껴져.,assistant: 1
User: bad 왜나옴?,assistant: 1
User: 탕후루 몸에 안좋아?,assistant: 0
User: 식단 결과가 좀 이상한 거 같아. 어떻게 생각해?,assistant: 1
User: 건강하게 먹었는데 왜 Not Bad?,assistant: 1
User: ㅠㅠ,assistant: 0
User: ㅜㅜㅜㅜ,assistant: 0
User: ㅈ같네,assistant: 0
User: ㅈ,assistant: 0
User: 앵콜,assistant: 0
User: 아침에 먹기 좋은 메뉴 추천해줘,assistant: 0
User: 오늘 식단 정말 좋다,assistant: 1
User: 식단 평가가 왜 이러실까?,assistant: 1
User: 습관,assistant: 0
User: gg,assistant: 0
User: 미치긋네,assistant: 0
User: ㅂㅂ,assistant: 0
User: ㅂ2ㅂ2,assistant: 0
User: 식단 관리할 때 주의해야 할 점 알려줘.,assistant: 0
User: 평가가 높은 음식을 먹었는데 식단 평가가 왜 이래?,assistant: 1
User: 식단 평가 Let’s go,assistant: 1
User: Good 식단 보여줘,assistant: 1
User: Perfect한 식단 보여줘,assistant: 1
User: 새로 시작한 취미 어때? 재미있어 보여!,assistant: 0
User: 젊었던 기억,assistant: 0
User: 그대 그대 그대,assistant: 0
User: 식단 관리 쉽게 할 수 있는 팁,assistant: 0
User: 내 식단 뭐가 문제야?,assistant: 1
User: 6일전 식단 어땠지,assistant: 1
User: 금일 식단 어땠지,assistant: 1
User: 어제 식단 어땠지,assistant: 1
User: ㅇㄷㅇㄷ,assistant: 0
User: ㅇㄷ?,assistant: 0
User: 뭐 임마,assistant: 0
User: 알려줘 나의 식단 평가,assistant: 1
User: 식단 평가는?,assistant: 1
User: Perfect한 식단 알려줘,assistant: 1
User: Very Good한 식단 알려줘,assistant: 1
User: Good한 식단 알려줘,assistant: 1
User: Not Bad한 식단 알려줘,assistant: 1
User: Bad한 식단 알려줘,assistant: 1
User: ㅂ2,assistant: 0
User: 가나다,assistant: 0
User: ㄱㄴㄷ,assistant: 0
User: ㄴㄷㅂㄷㄴㄹ,assistant: 0
User: ㅇㅇㄷㅇㄷ,assistant: 0
User: ㄱㄴ,assistant: 0
User: ㅇㅈ,assistant: 0
User: ㄹㅇ,assistant: 0
User: 다이어트 지친다,assistant: 0
User: 오늘 점심 뭐 먹을까요?,assistant: 0
User: 내 식단 왜 최악이야?,assistant: 1
User: 왜 Not Bad라고 나왔지?,assistant: 1
User: 운동 후에 하는 산책은 식단을 먹을 때도 좋겠지?,assistant: 0
User: 오늘 Not Bad네,assistant: 1
User: 아 주말에 뭐하지,assistant: 0
User: 지방이 없는 맛있는 음식 추천,assistant: 0
User: 최근에 새로운 운동을 시작했는데 정말 즐겁다,assistant: 0
User: Not Bad를 영어로 어떻게 표현해?,assistant: 0
User: 어제랑 오늘 식단 평가 좀,assistant: 1
User: 식단평가,assistant: 1
User: 오늘 기분이 Not Bad한대~,assistant: 0
User: 토스트 살찜?,assistant: 1
User: 오늘 미세먼지 어때요?,assistant: 0
User: 출근하기 싫다,assistant: 0
User: 오늘 Not Bad네,assistant: 1
User: 오늘 점심으로 샐러드를 먹었어요.,assistant: 0
User: 안녕하세요,assistant: 0
User: 내가 뭐하는 거지,assistant: 0
User: 운동 후에 하는 산책은 식단을 먹을 때도 좋겠지?,assistant: 0
"User: 식단에 대해 간략하게 분석해줘, 부탁해.",assistant: 1
User: 식단 평가에 대해 간략하게 분석 좀 해줘.,assistant: 1
User: 내가 뭐하는 거지,assistant: 0
User: 식단에 대한 간략한 분석 부탁해.,assistant: 1
User: 어제 식단 평가해봐,assistant: 1
"User: 네, 어떤 부분이 의아하게 느껴지시나요?",assistant: 0
User: 운동 루틴 추천해줘,assistant: 0
User: 아침에 먹기 좋은 메뉴 추천해줘,assistant: 0
User: 탄수화물,assistant: 0
User: 어디야?,assistant: 0
User: 지방이 많았나,assistant: 1
User: 내 식단 뭐가 문제야?,assistant: 1
User: 다이어트나 한번 해볼까,assistant: 0
User: Perfect한 식단이네,assistant: 1
User: Good Choice,assistant: 0
User: 식단 결과가 좀 의아하게 느껴져.,assistant: 1
User: 운동 후 산책이 다이어트에 좋을까요?,assistant: 0
User: 이틀 전 식단 평가좀,assistant: 1
User: Bad Bitch,assistant: 0
User: 오늘은 정말 즐거운 하루였어,assistant: 0
User: 식단 평가가 왜 이러실까?,assistant: 1
User: 영양,assistant: 0
User: 내 식단 왜 최악이야?,assistant: 1
User: 식단 평가가 왜 이래?,assistant: 1
User: 오늘 점심 뭐 먹을까요?,assistant: 0
User: 어디어디,assistant: 0
User: I feel bad.,assistant: 0
User: 괜찮아,assistant: 0
User: 오늘 저녁은 필라테스를 했어 잘했지?,assistant: 0
User: 알겠습니다.,assistant: 0
User: 내 식단이 어떤데?,assistant: 1
User: 내 기분 오늘 왜 Bad,assistant: 0
User: 내 식단 왜 최악이야?,assistant: 1
User: 운동 새로 시작했어!,assistant: 0
User: 단백질 과다섭취인가?,assistant: 1
User: 알겠습니다,assistant: 0
User: I am feeling good today!,assistant: 0
User: 내가 만든 음식 맛이 이상해,assistant: 0
User: 오늘 점심으로 샐러드를 먹었어요.,assistant: 0
User: 아이유는 너무 귀여운 것 같아요.,assistant: 0
User: 내 식단 왜 좋음?,assistant: 1
User: 오늘 점심 뭐 먹을까요?,assistant: 0
User: 식단에 대한 간략한 분석 결과를 부탁해.,assistant: 1
User: 오늘 날씨 어때요?,assistant: 0
User: 7일전 식단 Not Bad?,assistant: 1
User: 나 왜 Normal?,assistant: 1
User: 왜 Not Bad라고 나왔지?,assistant: 1
User: 건강한 식단 보여줘,assistant: 0
User: 운동 후에 하는 산책은 식단을 먹을 때도 좋겠지?,assistant: 0
User: 식단평가,assistant: 1
User: 내 식단 왜 최악이야?,assistant: 1
User: 운동 후에 하는 산책은 식단을 먹을 때도 좋겠지?,assistant: 0
User: 내 식단 정보,assistant: 1
User: 오늘 식단 보여줘,assistant: 1
User: 기분이 좋지 않아요. 식단 좀 짜주세요.,assistant: 0
User: 왜 Very Good이라고 나왔지?,assistant: 1
User: 닭가슴살을 먹었는데 왜 BAD라고 나왔지?,assistant: 1
User: 식단에 대한 간략한 분석 결과를 부탁해.,assistant: 1
User: 오늘 먹은 식단에 대해 평가해줘,assistant: 1
User: 오늘 날씨 너무 좋다,assistant: 0
User: 뭐지,assistant: 0
User: 식단 평가가 왜 이렇지?,assistant: 1
User: 오늘 날씨 너무 좋다!,assistant: 0
User: 내 식단 왜 최악이야?,assistant: 1
User: Perfect한 식단 보여줘,assistant: 0
User: 식단 관리 꿀팁 부탁,assistant: 0
User: perfect 왜나옴?,assistant: 1
User: 오늘 식단 출력,assistant: 1
User: ??,assistant: 0
User: 오늘 점심 뭐 먹을까요?,assistant: 0
User: 아싸 겨울이다,assistant: 0
User: 다이어트 지친다,assistant: 0
User: 울적한 이 마음 아주 Bad,assistant: 0
User: 식단에 대한 간략한 분석 부탁해.,assistant: 1
User: 토스트 살찜?,assistant: 0
User: 오늘 날씨가 좋네요.,assistant: 0
User: 오늘 날씨가 좋네요!,assistant: 0
User: 식단에 대한 간략한 분석 결과를 부탁해.,assistant: 1
User: 식단 결과가 좀 의아하게 느껴져.,assistant: 1
User: Perfect Night,assistant: 0
User: 다이어트 너무 힘들어요.,assistant: 0
User: 영양소가 많은 식사를 했는데 왜 BAD라고 나왔지?,assistant: 1
"User: 오늘 먹은 식단 사진이야, 어때?",assistant: 0
User: 배고파요,assistant: 0
