label,question
0,오늘 주말 때문에 기분이 좋지 않아.
1,탄수화물 관리를 어떻게 해야 할까? 이번 주 식단 평가가 계속 나빠.
0,나의 지방 섭취를 줄이려면 어떻게 해야 할까?
0,오늘 날씨가 어때? 축구하기 좋은 날씨인가.
0,새로 시작한 공부 어때? 재미있어 보여!
0,오늘 날씨 때문에 기분이 좋지 않아.
1,5월 7일날 내 평가가 어땠지?
1,어제 영양소가 많은 식사를 했는데 왜 BAD라고 나왔지?
1,어제 지방이 많은 식사를 했는데 왜 퍼펙트라고 나왔지?
0,주말에 운동 할 계획이 있어?
1,어제 지방 많이 먹었는데 왜 perfect야?
0,오늘 고양이 때문에 기분이 좋지 않아.
1,영양소가 높은 음식을 먹었는데 식단 평가가 왜 이래?
1,평가가 높은 음식을 먹었는데 식단 평가가 왜 이래?
1,그저께 단백질 많이 마셨는데 결과가 왜저래?
1,탄수화물를 줄여야 할까? 어제 식단 평가가 좋지 않아서 걱정이야.
0,이제 뭘 먹어야돼?
0,새로 시작한 기분 어때? 재미있어 보여!
0,오늘 운동해야하나? 식단 평가가 좋지 않아서 걱정이야.
0,다음 휴가 때 식단 조절을 해볼까
1,어제 탄수화물이 많은 식사를 했는데 왜 보통이라고 나왔지?
1,어제 단걸 많이 머겅ㅆ는데 normal이라 나온 이유가?
1,내 식단평가가 제일 좋았던 때가 언제야?
0,에이블 스쿨 파이팅
0,장충동 왕족발 보쌈알아?
0,오늘 여행 때문에 기분이 좋지 않아.
0,오늘 저녁엔 공부을 하며 시간을 보낼까 해.
0,이번 주 식단은 평가가 높아서 행복해.
0,다이어트 중인데 단백질 평가가 나쁘지 않아 기쁘다.
1,not bad가 높은 음식을 먹었는데 식단 평가가 왜 이래?
0,이번 주 식단은 normal이 많아서 행복해.
1,어제 평가가 좋은 식사를 참고해서 먹었는데 왜 BAD라고 나왔지?
0,단백질 관리를 어떻게 해야 할까? 식단 평가가 계속 나빠.
0,오늘 저녁엔 맥주를 마시며 시간을 보낼까 해.
1,이번 주 식단은 그냥 꽝이다
0,최근에 새로운 취미를 시작했는데 정말 즐겁다.
1,어제 bad가 나온 이유가 뭐야?
0,나의 지방 섭취를 줄이려면 어떻게 해야 할까?
0,나의 단백질 섭취를 줄이려면 어떻게 해야 할까?
1,어제 칼로리가 많은 식사를 했는데 왜 BAD라고 나왔지?
1,지난주 단백질이 높은 식사를 했는데 결과가 GOOD이라니 놀랍다.
0,이번 주 식단은 perfect가 많아서 행복해.
0,오늘 저녁엔 계획을 하며 시간을 보낼까 해.
0,최근에 새로운 여행를 시작했는데 정말 즐겁다.
0,지방 관리를 어떻게 해야 할까? 식단 평가가 계속 나빠.
0,오늘 휴가 때문에 기분이 좋지 않아.
1,not bad가 왜자꾸 나와? 일주일동안 다 notbad잖아
0,오늘 근황 때문에 기분이 좋지 않아.
0,오늘 저녁엔 공부을 하며 시간을 보낼까 해.
0,오늘 운동가 어때? 나가기 좋은 날씨인지 궁금해.
0,오늘 여행 때문에 기분이 좋지 않아.
1,이번달 식단 평가가 계속 나빠.
1,not bad 왜나옴?
1,perfect 왜나옴?
1,완벽 왜 나옴?
1,bad 왜나옴?
1,good 왜 나옴?
1,내 식단 왜 나쁨?
1,내 식단 왜 좋음?
0,오늘 저녁엔 취미을 하며 시간을 보낼까 해.
0,다음 휴가 때 축구로 여행 가고 싶어.
0,다음 휴가 때 계획로 여행 가고 싶어.
0,다음 휴가 때 운동로 여행 가고 싶어.
0,이번 주 식단은 평가가 낮아서 짜증난다
1,어제 perfect가 많은 식사를 했는데 왜 BAD라고 나왔지?
1,good가 높은 음식을 먹었는데 어제 식단 평가가 왜 저래?
0,다이어트 중인데 평가 평가가 나쁘지 않아 기쁘다.
0,나의 단백질 섭취를 줄이려면 어떻게 해야 할까?
0,나 살빼려면 어떻게 해야 할까?
0,다음 휴가 때 공부로 여행 가고 싶어.
0,새로 시작한 운동 어때? 재미있어 보여!
0,오늘 저녁엔 운동을 하며 시간을 보낼까 해.
0,오늘 공부가 어때? 나가기 좋은 날씨인지 궁금해.
1,어제 perfect가 많은 식사를 했는데 왜 BAD라고 나왔지?
0,오늘 저녁엔 축구을 하며 시간을 보낼까 해.
0,다음 휴가 때 여행로 여행 가고 싶어.
0,치킨 먹고 싶다
1,왜 자꾸 normal 이래? 기분 나빠.
0,새로 시작한 기분 어때? 재미있어 보여!
1,어제 not bad가 많은 식사를 했는데 왜 BAD라고 나왔지?
0,오늘 축구가 어때? 나가기 좋은 날씨인지 궁금해.
0,이번 주말은 딸내미랑 함께 보낼 계획이야.
1,어제 평가가 좋은 식사를 했는데 왜 BAD라고 나왔지?
1,어제 나쁜거 많이 먹었는데 왜 not bad야?
0,오늘 너 때문에 기분이 좋지 않아.
1,지난주 술 많이 먹었는데 결과가 GOOD이라니 놀랍다.
0,다이어트 중인데 식단 평가가 나쁘지 않아 기쁘다.
0,이번 주 행복해.
1,어제 평가가 좋은 식사를 했는데 왜 나쁘다고 나왔지?
1,지난주 평가가 낮은 식사를 했는데 어제 결과가 GOOD이라니 놀랍다.
0,이번 주 날씨 때문에 기분이 좋지 않아.
1,good 어케 나옴?
0,요새 근황 어때>?
0,슬러시
0,너는 누구야?
0,다이어트 중인데 지방 평가가 나쁘지 않아 기쁘다.
1,지난주 지방덩어리 식사를 했는데 결과가 GOOD이라니 놀랍다.
1,어제 내 식단에 대한 평가를 요약해줘.
0,새로 시작한 날씨 어때? 재미있어 보여!
0,오늘 날씨가 어때? 나가기 좋은 날씨인지 궁금해.
1,어제 내 식단을 요약해줘.
1,일주일 식단을 요약해줘.
0,주말에 여행 할 계획이 있어?
0,새로 시작한 계획 어때? 재미있어 보여!
1,식단 평가가 왜 이래?
0,이번 주 식단은 영양가 낮아서 행복해.
0,충성
1,어제 내 식단 어땠지?
0,이번 주말은 취미와 함께 보낼 계획이야.
1,그저께 내 식단 어땠지?
0,주말에 공부 할 계획이 있어?
0,지난 주 신경좀 썼더니 식단 평가 결과가 좋네~
1,그저께 내 식단 왜 최악이야?
1,그저께 내 식단 왜 굿이야?
1,그저께 내 식단 왜 나쁜데?
0,새로 시작한 취미 어때? 재미있어 보여!
1,어제 내 식단 왜 나쁜데?
0,최근에 새로운 운동를 시작했는데 정말 즐겁다.
0,다음 휴가 때 기분로 여행 가고 싶어.
0,오늘 저녁엔 필라테스를 하며 시간을 보낼까 해.
1,3일 전에 내가 먹은거 왜 평가 좋아?
0,이번 주말은 공부와 함께 보낼 계획이야.
0,다음 휴가 때 계획로 여행 가고 싶어.
0,오늘 축구 때문에 기분이 좋지 않아.
1,3일 전에 에 내가 먹은거 왜 평가 나빠??
0,이번 주말은 휴가와 함께 보낼 계획이야.
0,겨울이다~~~~~
0,새로 시작한 축구 어때? 재미있어 보여!
1,good이던 식단 참고해서 먹었는데 식단 평가가 왜 이래?
0,다이어트 중인데 not bad 면 좋은건가
0,이번 주말은 축구와 함께 보낼 계획이야.
1,내식단 어제 뭐 문제 잇엇어?
1,어제 뭐 문제 있었나?
0,컴퓨터 사양 추천 좀
0,겨울이 좋아 여름이 좋아
0,엘리멘탈 알아?
0,식단 관리 꿀팁좀줘
1,어제 내 식단의 문제점은?
1,어제 내 밥이 어땠지?
0,오늘 저녁엔 운동을 하며 시간을 보낼까 해.
1,어제 건강하게 먹은 것 같은데 왜 BAD라고 나왔지?
0,이번 주말은 여행와 함께 보낼 계획이야.
1,그저께 내 밥이 어땠지?
1,지난주 단백질가 높은 식사를 했는데 결과가 GOOD이라니 놀랍다.
0,이번 주말은 취미와 함께 보낼 계획이야.
0,오늘 공부 때문에 기분이 좋지 않아.
1,완벽 왜 나옴?
1,perfect 왜나옴?
1,bad 왜나옴?
1,내 식단 왜 좋음?
1,not bad가 많은 식사를 했는데 왜 BAD라고 나왔지?
1,good 어케 나옴?
1,내 식단 왜 최악이야?
1,내 식단 왜 나쁜데?
1,내가 먹은거 왜 평가 나빠??
1,식단 평가가 왜 이래?
1,어제 내가 먹은 식단을 평가해줄 수 있어?
1,어제 하루 종일 먹은 것들에 대한 평가를 받을 수 있을까?
1,지난주 금요일 내가 먹은 모든 음식에 대해 어떻게 생각해?
1,어제 먹은 모든 식사와 간식이 나쁜 선택이었나?
1,지난 수요일 하루 종일 먹은 것들을 평가해줄래?
1,어제 내가 먹은 음식이 건강에 좋지 않았다면 그 이유는 무엇인가?
1,너 왜 내 식단을 나쁘게 평가했어?
1,"내가 어제 먹은 모든 식사가 균형 잡힌 식단이었다고 생각한다면, 그 근거는 무엇인가?"
1,어제 내 식단을 왜 안좋게 평가했어?
1,내가 먹은 음식이 건강에 좋지 않다고 생각하는 이유는 무엇인가?
1,지난주에 내가 먹은 음식이 나쁜 평가를 받은 이유가 궁금해.
1,어제의 식단 평가가 좋지 않았던 이유는 무엇인가?
1,내 식단이 건강에 좋지 않다고 평가한 근거는 무엇인가?
1,어제 내가 섭취한 칼로리가 높다고 생각하는 이유는?
1,내가 최근에 먹은 음식들이 나쁘게 평가된 이유가 뭔가?
1,식단이 왜 좋지 않았다고 생각해?
1,어제 먹은 모든 식사와 간식이 좋은 선택이었나?
1,"어제 먹은 모든 식사와 간식이 그저그런 선택이었나?"""
1,어제 내가 먹은 음식이 평가가 좋던데 그 이유는 무엇인가?
1,너 왜 내 식단을 좋게 평가했어?
1,지난주 수요일 식사가 왜 나쁘게 평가됐어?
1,저번 주말에 먹은 식단에 대한 평가는 어떤가?
1,식단을 좋게 평가 받은 이유가 뭐지?
1,good?왜지?
1,not bad? 왜지?
1,perfect 왜지?
1,not good 왜지?
1,normal 왜지?
1,어제 bad 나온 이유가 뭐지?
1,어제 not bad 나온 이유가 뭐지?
1,어제 normal 나온 이유가 뭐지?
1,어제 good 나온 이유가 뭐지?
1,어제 perfect 나온 이유가 뭐지?
0,오늘 먹은 치킨 perfect했다
0,not bad 한 기분이다 뭐먹으면 좋을까?
